t_s,wall_surface_F
0.0,104.4243922903827
0.1,450.5557890276303
0.2,633.6165553422538
0.3,787.086590453165
0.4,917.1308955071585
0.5,1028.197482372049
0.6,1123.6527728182186
0.7000000000000001,1206.1085320836478
0.8,1277.6323026983264
0.9,1339.8881958460956
1.0,1394.2342225367606
1.1,1441.7915005430275
1.2,1483.494677673665
1.3,1520.1294588128167
1.4000000000000001,1552.361061337513
1.5,1580.7561506242046
1.6,1605.7999989621894
1.7,1627.9100844058955
1.8,1647.4469948362917
1.9000000000000001,1664.723263357311
2.0,1680.0105952469373
2.1,1693.5458296183285
2.2,1705.535895054541
2.3000000000000003,1716.1619574428314
2.4,1725.5829133394363
2.5,1733.9383486343188
2.6,1741.3510570597387
2.7,1747.9291937769535
2.8000000000000003,1753.7681244853873
2.9,1758.9520189564246
3.0,1763.555228873694
3.1,1767.6434827206126
3.2,1771.2749247917072
3.3000000000000003,1774.5010208187152
3.4,1777.3673490386686
3.5,1779.914292522753
3.6,1782.177646142527
3.7,1784.1891495109674
3.8000000000000003,1785.9769555783212
3.9,1787.5660431529006
4.0,1788.978580467679
4.1,1790.2342459083004
4.2,1791.3505111941456
4.3,1792.3428916242815
4.4,1793.225167348605
4.5,1794.0095791590095
4.6000000000000005,1794.7070018156348
4.7,1795.3270975806943
4.8,1795.8784522602505
4.9,1796.368695804551
5.0,1796.8046092624852
